"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C1qa",2.20421056530949e-46,0.718938595293722,0.952,0.946,3.35017963821389e-42
"C1qb",2.14223569575387e-40,0.672393592870123,0.956,0.937,3.25598403397631e-36
"C1qc",3.73359686063932e-38,0.618825154636863,0.923,0.884,5.67469386848571e-34
"H2-D1",6.01943935056919e-38,0.589408405752348,0.563,0.268,9.14894586893012e-34
"Hexb",9.75135079317461e-34,0.526174063261747,0.951,0.95,1.48210780705461e-29
"H2-K1",1.86042877601478e-32,0.452180835206766,0.457,0.192,2.82766569666486e-28
"Itm2b",2.40899586545842e-32,0.545126093013057,0.919,0.888,3.66143281591025e-28
"Cd81",7.60691927031549e-31,0.52322079313649,0.856,0.721,1.15617565989525e-26
"Ctsh",1.13764729615245e-27,0.44281724637885,0.599,0.344,1.72911012542211e-23
"Ly86",1.55587997142751e-27,0.481358206232481,0.736,0.521,2.36478196857268e-23
"Lgmn",1.15304156557101e-26,0.471195067953135,0.809,0.631,1.75250787551138e-22
"Gm47283",1.16055251560177e-26,0.29529541469325,0.284,0.08,1.76392376846313e-22
"Ctsd",1.41246072745732e-25,0.506674075025139,0.941,0.912,2.14679905966238e-21
"Unc93b1",2.29393313963092e-25,0.375821102882564,0.599,0.352,3.48654897892503e-21
"B2m",6.32927130175472e-25,0.46184916457895,0.634,0.389,9.619859451537e-21
"Ctss",1.11606979788576e-24,0.527233801927515,0.95,0.958,1.69631448580657e-20
"Fcer1g",6.96476971479813e-23,0.495735558650761,0.823,0.679,1.05857534895217e-18
"Cyba",1.98470074256429e-22,0.420585855440874,0.704,0.475,3.01654665862346e-18
"Ctsz",5.83656113128862e-21,0.477051756936704,0.807,0.626,8.87098926344558e-17
"Csf1r",1.50926147967563e-20,0.401838910993157,0.841,0.721,2.29392652295899e-16
"Ctsc",1.61141946509476e-20,0.300896929132978,0.389,0.185,2.44919644499753e-16
"Cyth4",1.72133753782647e-20,0.302440149218786,0.507,0.282,2.61626092374245e-16
"Ifngr1",8.73885831373655e-20,0.367541843740435,0.609,0.393,1.32821907510482e-15
"Trem2",7.18009638789363e-19,0.454355081809633,0.87,0.77,1.09130284999595e-14
"Serinc3",7.39979404211229e-19,0.348280837585487,0.702,0.502,1.12469469646065e-14
"Fyb",7.83539691390511e-19,0.285820873022164,0.408,0.204,1.19090197694444e-14
"Sirpa",7.95264696231423e-19,0.336199191220548,0.634,0.424,1.20872281180214e-14
"Apbb1ip",1.2745060994734e-18,0.281246890201052,0.482,0.268,1.93712182058962e-14
"Cst3",3.50502665946059e-18,0.51346489982156,0.997,0.995,5.32729001971415e-14
"Ctsb",1.03855125212078e-17,0.492499672563286,0.794,0.63,1.57849404809837e-13
"Mpeg1",1.23986229881151e-17,0.332765179871524,0.636,0.426,1.88446670796362e-13
"Psap",1.43072463781498e-17,0.329531649121352,0.744,0.555,2.17455837701499e-13
"Mafb",1.4724766619579e-17,0.29333884230618,0.38,0.19,2.23801727850982e-13
"Cx3cr1",1.51385610812246e-17,0.430429549695826,0.831,0.762,2.30090989873532e-13
"Lair1",3.65350844854998e-17,0.254579221316016,0.517,0.302,5.55296749095111e-13
"Lpcat2",1.35815360624375e-16,0.330192245557149,0.711,0.518,2.06425766612988e-12
"Cd300c2",5.87545962228898e-16,0.277409899412652,0.405,0.229,8.93011107991703e-12
"Itgb5",1.3969444560961e-15,0.264594919821411,0.488,0.294,2.12321587882046e-11
"Tgfbr1",6.28397859147487e-15,0.312518828162976,0.68,0.494,9.55101906118265e-11
"Lyz2",7.39818218481442e-15,0.508732294240698,0.427,0.252,1.12444971026994e-10
"Cd9",1.13521470670744e-14,0.503918065010635,0.77,0.657,1.72541283272464e-10
"Ctsl",1.81154929250817e-14,0.469996307542749,0.776,0.622,2.75337376968317e-10
"Grn",2.56865502933361e-14,0.288263450344353,0.53,0.347,3.90409877908415e-10
"Qk",2.84820883519179e-14,0.32400840532841,0.748,0.603,4.328992608608e-10
"Trf",6.67756105816129e-14,0.285701524173144,0.586,0.411,1.01492250522993e-09
"Ly6e",1.22160230016782e-13,0.286699606576381,0.537,0.359,1.85671333602507e-09
"Siglech",1.34127713647565e-13,0.274116614971174,0.577,0.388,2.03860711972934e-09
"Tmem176a",1.83096442951958e-13,0.266998770459684,0.321,0.169,2.7828828364268e-09
"Itgam",1.97011476787323e-13,0.257286563606283,0.523,0.34,2.99437743569053e-09
"Srgap2",2.49870242402062e-13,0.253064621226925,0.624,0.434,3.79777781426893e-09
"Abhd12",3.66644474166323e-13,0.264828567982616,0.504,0.331,5.57262936285394e-09
"Ptprc",4.18270623287001e-13,0.252948823491063,0.519,0.335,6.35729520333913e-09
"Lamp1",6.97237585808035e-13,0.331685061341316,0.708,0.547,1.05973140666963e-08
"Cd63",1.00586117000653e-12,0.367167480272481,0.478,0.312,1.52880839229293e-08
"Cd68",2.02579245911591e-12,0.267581470984292,0.455,0.29,3.07900195861028e-08
"Fth1",2.63570088031893e-12,0.420772527454281,0.771,0.614,4.00600176799674e-08
"Rps4x",2.67242407810805e-12,0.289506617194985,0.426,0.267,4.06181735631643e-08
"Selenop",3.24770132503486e-12,0.317602169484572,0.574,0.419,4.93618124392048e-08
"Laptm5",3.96744332420224e-12,0.3249375054068,0.785,0.687,6.03011710845499e-08
"Rpl18a",5.60464416149591e-12,0.260839585487956,0.429,0.272,8.51849866105764e-08
"Sparc",8.70198486000878e-12,0.331120380703041,0.676,0.533,1.32261467887273e-07
"Fau",1.0969281758912e-11,0.342552851556619,0.534,0.389,1.66722113453704e-07
"Rps9",1.41636057853867e-11,0.284907724372275,0.457,0.303,2.15272644332093e-07
"Marcks",2.20960074950469e-11,0.31170963135835,0.42,0.273,3.35837217917218e-07
"Rpl19",2.93769654310866e-11,0.267176233502518,0.438,0.287,4.46500497587086e-07
"Plxdc2",3.542132741454e-11,0.250612294983906,0.615,0.453,5.38368755373593e-07
"Ftl1",2.0066433180368e-10,0.303514554566075,0.455,0.305,3.04989717908413e-06
"mt-Cytb",6.8304263833988e-10,0.266144319260952,0.921,0.88,1.03815650601278e-05
"Fcrls",8.98469333238056e-10,0.301750212949732,0.669,0.543,1.36558353958852e-05
"Rpl13",9.06441085752111e-10,0.268668007516315,0.577,0.433,1.37769980623463e-05
"Actb",9.272686193996e-10,0.372388984498536,0.564,0.422,1.40935557462545e-05
"Tmem119",1.08140116767427e-09,0.254273594595301,0.552,0.405,1.64362163474813e-05
"Hsp90b1",1.66738092122261e-08,0.262630259094561,0.726,0.597,0.000253425226216625
"Eef1a1",1.40401542712559e-07,0.273371274709161,0.51,0.384,0.00213396304768819
"Rps29",1.91422205508431e-07,0.261843775387703,0.514,0.395,0.00290942610152264
"Tmsb4x",7.48370275043141e-07,0.474952368224459,0.813,0.751,0.0113744798103807
"P2ry12",2.65031168180271e-06,0.276637984376485,0.672,0.603,0.0402820872517194
